Airfare,GroupTravel,NoTransport,PleasureTrip,Destination2,Destination3,Destination4,DepartureTime2,DepartureTime3,DepartureTime4,Income2,Income3,Income4,Income5,Income6,Income7,Income8,airline
60.79,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
60,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3
75,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2
61,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4
61,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4
30,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4
41,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4
48.34,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
75,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2
40.4,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4
60.79,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
27,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
3,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
48.34,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2
60.79,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
60.79,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
3,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
60,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3
53,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
50,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3
23,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3
30,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3
29.12,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2
100,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
60,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4
30,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
