"","ID","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","FrequentFlightDestination1","FrequentFlightDestination2","FrequentFlightDestination3","FrequentFlightDestination4","FrequentFlightDestination5","FrequentFlightDestination6","FrequentFlightDestination7","Destination","TotalDepartureHr","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","MileageAirline","FrequentDestination1","FrequentDestination2","FrequentDestination3","FrequentDestination4","FrequentDestination5","FrequentDestination6","FrequentDestination7","MileageAirline1","MileageAirline2","MileageAirline3","MileageAirline4","MileageAirline5","Income"
"84",88,1,4,47,1,1,1,5,3,1,1,2,1,0,0,0,0,0,0,3,13.58,2,1,40.4,2,2,13300,45,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"85",90,1,1,40,1,1,1,5,10,3,2,0,0,0,0,0,0,1,0,3,17.36,2,3,60.79,1,7,4300,53,2,2,0,0,0,0,0,1,0,0,1,0,0,0,2
"86",91,1,3,30,2,1,1,7,3,1,2,3,1,0,0,0,0,0,0,3,20.08,3,1,60,1,3,3000,15,2,4,1,0,0,0,0,0,0,0,0,0,1,0,3
"87",92,1,2,32,1,1,1,5,2,4,2,1,1,0,0,0,0,0,0,3,16,2,2,75,2,8,10600,155,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"88",93,1,4,45,1,1,1,5,1,7,2,0,1,0,0,0,0,0,0,3,13.58,2,1,61,3,8,6000,120,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"89",94,1,4,40,2,1,1,5,1,7,2,2,1,0,0,0,0,0,0,3,13.58,2,1,61,3,8,6000,120,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"90",95,1,4,39,1,1,1,0,5,5,2,0,1,0,0,0,0,0,0,3,13.42,2,2,30,3,2,10000,30,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"91",96,1,4,37,1,1,1,6,5,5,2,5,1,0,0,0,0,0,0,3,13.42,2,1,41,3,5,1100,30,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"92",97,1,2,44,1,1,2,15,1,1,2,80,0,1,0,0,0,0,0,1,14.33,2,2,48.34,2,2,13000,45,12,5,0,1,0,0,0,0,0,0,0,0,0,1,8
"93",98,1,2,30,2,1,1,5,2,4,2,1,1,0,0,0,0,0,0,3,16.17,2,2,75,2,8,14000,40,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"94",99,1,4,49,1,1,1,4,2,8,1,0,1,0,0,0,0,0,0,3,20.67,3,3,40.4,1,5,2700,40,3,4,1,0,0,0,0,0,0,0,0,0,1,0,2
"95",100,1,1,50,2,1,1,7,2,2,2,0,1,0,0,0,0,0,0,3,20.33,3,1,60.79,1,5,3175,30,9,4,1,0,0,0,0,0,0,0,0,0,1,0,4
"96",101,1,4,52,2,1,4,99,0,8,2,0,1,0,0,0,0,0,0,3,21.58,4,1,27,1,6,15000,100,9,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"97",102,1,4,54,2,1,1,5,26,3,1,2,1,0,0,0,0,0,0,3,20,3,1,3,2,2,2500,76,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"98",103,1,2,55,2,1,1,6,4,1,1,0,1,0,0,0,0,0,0,1,20.17,3,1,48.34,2,5,6595,56,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
