ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
74,1,3,22,2,1,1,7,1,6,2,1,"2,3",3,7C2301,7,35,3,1,24,1,1,,,8,7,,
75,1,1,34,1,2,2,30,1,5,2,12,2,1,KE607,19,45,3,1,,3,4,,,2,2,,
76,1,2,40,1,1,2,15,1,4,2,3,2,1,OZ365,14,0,2,1,,3,2,11000,10,12,,,
77,1,3,22,2,4,3,7,1,6,2,2,1,3,7C2301,7,35,3,1,24,3,8,,,12,,,
78,1,3,33,1,1,1,6,1,3,2,1,4,3,,16,,2,1,40,2,5,1050,60,12,,,
79,1,3,29,2,1,1,5,0,3,2,1,1,3,,16,,2,1,40,1,5,1050,60,2,,,
80,1,2,43,1,1,1,4,3,1,1,1,1,3,,,,2,1,,2,3,,,12,,,
81,1,4,41,1,1,4,8,10,5,2,5,6,1,,13,40,2,2,120,3,1,,10,12,,,
82,1,,25,2,1,1,5,1,5,1,0,1,3,,13,25,2,1,,3,2,17000,,12,,,
83,1,,27,2,1,1,5,1,5,1,0,1,3,,13,25,2,1,,3,2,17000,,12,,,
84,1,1,30,1,1,1,5,1,5,2,10,2,3,KE643,14,20,2,1,65,3,1,1800,30,12,,,
85,1,2,50,2,1,1,99,1,8,2,0,1,2,OZ134,14,0,2,1,23,1,1,,,9,5,,
86,1,2,31,1,1,2,30,0,1,2,5,2,1,,12,40,2,1,54,1,2,3000,15,3,3,,
87,1,1,34,1,1,2,99,0,1,2,6,"2,4",1,,13,5,2,1,20,1,1,,,1,7,4,
88,1,4,47,1,1,1,5,3,1,1,2,1,3,965,13,35,2,1,,2,2,13300,45,12,,,
89,1,,61,2,1,1,5,27,1,1,0,2,1,,,,2,1,154,2,3,,15,12,,,
90,1,1,40,1,1,1,5,10,3,2,0,6,3,,,,2,3,,1,7,4300,53,2,2,2,
91,1,3,30,2,1,1,7,3,1,2,3,1,3,,20,5,3,1,60,1,3,3000,15,2,3,4,
92,1,2,32,1,1,1,5,2,4,2,1,1,3,OZ751,16,0,2,2,75,2,8,,,12,,,
93,1,4,45,1,1,1,5,1,7,2,0,1,3,8B0964,13,35,2,1,61,3,8,6000,120,12,,,
94,1,4,40,2,1,1,5,1,7,2,2,1,3,8B0964,13,35,2,1,61,3,8,6000,120,12,,,
95,1,4,39,1,1,1,0,5,5,2,0,1,3,8B0964,13,25,2,2,30,3,2,10000,30,12,,,
96,1,4,37,1,1,1,6,5,5,2,5,1,3,8B0964,13,25,2,1,41,3,5,1100,30,12,,,
97,1,2,44,1,1,2,15,1,1,2,80,2,1,OZ307,14,20,2,2,,2,2,13000,45,12,,,
98,1,2,30,2,1,1,5,2,4,2,1,1,3,OZ751,16,10,2,2,75,2,8,14000,40,12,,,
99,1,4,49,1,1,1,4,2,8,1,0,1,3,7C2203,20,40,3,3,,1,5,2700,40,3,2,4,
100,1,1,50,2,1,1,7,2,2,2,0,1,3,KE659,20,20,3,1,,1,5,,30,9,4,4,
101,1,4,52,2,1,4,99,0,8,2,0,1,3,5J195,21,35,4,1,27,1,6,15000,100,9,1,1,
102,1,4,54,2,1,1,5,26,3,1,2,1,3,7C2201,20,,3,1,3,2,2,2500,,12,,,
103,1,2,55,2,1,1,6,4,1,1,0,1,1,OZ749,20,10,3,1,,2,5,,,12,,,
104,1,1,60,2,1,1,5,2,3,2,1,1,3,KE659,20,20,3,1,,1,6,,,11,1,4,
105,1,1,62,1,1,1,5,2,3,2,1,1,3,KE659,20,20,3,1,,1,6,,120,11,1,4,
106,1,4,64,2,1,1,5,26,3,1,2,1,3,7C2201,20,0,3,1,3,2,2,2500,,12,,,
107,1,3,27,2,1,1,5,4,1,2,4,1,3,LJ001,17,20,2,1,60,1,6,15000,60,12,2,1,24000
108,1,3,25,2,1,1,5,4,1,2,0,2,3,LJ001,17,20,2,1,53,1,6,13000,60,3,,,
109,1,3,24,2,1,1,5,1,3,2,2,1,3,ZE511,17,30,2,1,50,1,6,12000,100,2,4,,
110,1,3,28,1,1,1,6,2,1,2,2,5,3,ZE511,17,30,2,1,23,1,6,14000,60,2,7,,
111,1,3,29,1,1,1,3,3,2,2,1,1,3,7C2301,19,35,3,1,30,1,5,,,2,2,4,
112,1,2,25,2,1,1,3,12,1,1,0,7,3,OZ757,20,20,3,1,,1,6,15000,160,5,,,
113,1,1,39,1,1,2,9,1,3,2,1,2,4,KE655,11,30,3,1,100,2,8,3000,60,12,,,
114,1,4,30,1,1,2,2,1,6,2,3,1,3,CX411,15,15,2,1,60,3,2,,,12,,,
115,1,3,36,1,1,1,3,3,2,2,3,3,3,7C2301,19,35,3,1,30,2,3,1100,,12,,,
116,1,1,31,1,1,1,5,1,1,2,0,"1,4",3,KE687,19,0,3,1,62,1,6,10000,60,2,4,1,8000
117,1,3,30,1,1,1,4,3,1,2,2,3,3,7C2301,19,35,3,2,,2,8,,90,2,5,1,
118,1,1,36,1,1,2,150,0,5,2,3,4,4,KE061,21,35,4,1,150,2,2,4600,10,12,,,
119,1,2,31,2,1,1,15,2,8,2,0,3,2,OZ178,21,0,4,1,,1,1,,,2,3,,
120,1,2,37,2,1,1,5,4,3,1,2,3,1,OZ0323,20,0,3,1,41,1,6,12000,90,3,2,2,
121,1,1,43,1,1,2,9,2,3,2,1,"2,3",4,KE655,19,30,3,1,120,1,6,,,2,3,,
122,1,3,45,1,1,1,5,1,4,2,1,"1,2",3,7C2301,19,35,3,1,35,2,8,,,12,,,
123,1,1,42,2,1,1,5,3,1,1,0,1,3,KE651,5,40,2,1,50,2,2,2400,10,12,,,
124,1,2,44,1,1,4,10,0,1,2,2,1,3,OZ703,19,50,3,1,55,1,6,9000,40,2,,4,
125,1,4,55,1,1,2,5,1,8,2,2,2,1,CX419,20,5,3,1,,1,6,,,2,,,
126,1,4,52,1,1,2,5,1,2,2,3,2,1,CX419,20,5,3,1,,1,5,,,2,4,,
127,1,1,50,1,1,1,365,2,8,1,0,2,2,KE719,20,55,3,1,,1,9,,,2,,4,
128,1,4,69,2,1,1,12,2,1,2,2,1,4,,22,0,4,2,,1,1,,60,9,7,,
129,1,1,30,1,1,1,6,2,1,1,4,5,4,KE629,18,0,3,1,,1,2,11000,30,2,3,1,3000
130,1,2,30,2,1,1,6,2,1,2,0,7,3,OZ709,20,20,3,1,,1,3,,,2,3,,
131,1,2,32,1,1,1,6,2,1,2,1,7,3,OZ709,20,20,3,1,,1,3,,,2,3,,
132,1,4,47,2,1,1,4,2,8,1,0,1,3,7C2203,20,40,3,3,,1,5,2700,40,9,,4,
133,1,1,47,2,1,1,6,2,8,2,0,7,3,KE623,20,5,3,1,,3,5,,,2,4,4,
134,1,2,47,2,1,1,4,4,1,1,1,1,3,OZ3195,20,30,3,1,,1,5,,,9,3,,
135,1,3,37,1,4,4,99,0,8,2,1,1,3,CJ003,21,40,4,1,65,2,1,,,12,,,
136,1,4,24,2,1,1,5,2,1,2,2,"1,4,5",3,Z2,8,30,1,1,56,2,2,3300,10,12,,,
137,1,1,33,1,2,2,10,2,1,2,4,"1,2,3",1,,7,45,3,2,,1,1,10000,,1,2,,
138,1,1,30,1,1,2,7,1,3,1,9,6,3,KE631,20,35,3,1,53,1,9,350000,80,12,3,1,70000
139,1,3,30,1,1,1,6,1,3,2,1,3,3,7C2203,20,40,3,1,40,1,6,10000,60,2,3,,
140,1,1,50,2,1,1,7,2,3,2,2,1,3,,9,45,1,1,,1,1,,,3,,,
141,1,1,35,1,1,2,6,2,1,2,0,1,4,KE6221,14,5,2,1,222,2,1,,15,12,,,
142,1,2,43,1,1,4,6,7,5,2,2,1,3,,7,5,3,1,57,4,2,10000,20,12,,,
143,1,2,27,2,5,1,5,8,8,2,5,6,4,OZ601,8,10,3,1,14,1,5,,120,3,2,,
144,1,3,32,1,1,1,5,1,5,2,1,5,3,,20,40,3,1,64,1,8,8000,40,4,1,,
145,1,3,33,1,1,1,7,1,2,2,2,1,3,,19,35,3,1,30,1,8,8000,,2,3,4,
146,1,2,36,1,4,2,180,1,5,2,2,1,3,,19,15,3,1,,2,2,,,12,,,
147,1,3,33,1,4,1,5,2,1,2,3,1,3,,21,40,4,1,50,1,6,15000,60,2,3,1,30000
148,1,4,30,1,4,1,5,2,1,1,1,1,3,J195,21,35,4,1,30,2,1,7000,40,12,,,
149,1,4,29,1,4,1,6,2,2,2,1,1,3,J195,21,30,4,1,30,1,6,2300,30,5,5,4,
150,1,2,22,1,4,3,150,0,4,2,0,1,3,,21,0,4,1,50,1,4,,,8,,,
151,1,1,44,1,1,2,3,0,5,2,2,1,3,KE471,,,3,1,89,2,8,50000,390,12,,,
152,1,1,54,1,1,1,5,2,4,2,0,7,1,,21,,4,1,,1,7,6800,65,12,,,
153,1,2,40,2,1,1,5,2,1,2,0,1,3,OZ747,19,50,3,1,,2,5,1050,25,12,,,
154,1,2,42,1,1,1,5,2,1,2,1,1,3,OZ747,19,50,3,1,,1,7,6900,40,12,2,,
155,1,4,44,1,5,1,10,1,8,2,2,4,4,,16,50,2,2,50,1,8,,,1,6,1,200000
156,1,1,31,2,1,2,5,1,1,2,5,5,3,,17,20,2,1,60,1,7,8000,,2,4,,
157,1,1,21,1,1,1,9,0,1,2,2,1,3,,17,20,2,1,60,1,7,,,8,,,
158,1,4,44,1,4,1,4,4,5,1,2,1,3,,18,0,3,1,50,1,8,56000,,3,3,,
159,1,3,24,2,1,1,5,2,5,1,1,1,3,,20,5,3,1,,2,8,38000,120,5,2,,
160,1,2,52,2,1,1,5,4,1,1,2,1,3,,17,0,2,1,70,1,2,9000,15,8,,,
161,1,3,71,2,5,1,7,3,1,2,2,5,3,,8,5,3,1,50,2,1,,,12,,,
162,1,2,54,2,1,4,3,0,8,2,4,3,2,,6,50,3,1,50,1,2,,,9,7,2,100000
163,1,2,37,2,4,2,5,2,1,2,3,1,3,OZ2757,20,20,3,1,76,1,6,24000,90,2,6,1,200000
164,1,2,37,1,1,2,60,1,3,2,10,2,1,OZ367,20,,3,1,30,2,3,1050,30,12,,,
165,1,2,41,2,1,1,6,2,1,2,0,1,3,,7,55,3,1,36,1,2,2500,10,7,2,,
166,1,3,27,1,1,1,6,1,1,2,1,1,3,LJ015,19,20,3,1,40,1,6,11000,20,1,2,1,5000
167,1,3,28,2,1,1,5,1,1,2,3,4,3,7C2302,19,35,3,1,31,2,3,1050,15,12,,,
168,1,3,29,2,4,1,5,2,1,2,3,1,3,7C2302,19,35,3,1,31,1,2,4300,15,2,6,1,29434
169,1,1,56,2,3,1,8,2,8,2,1,3,2,KE0001,17,40,2,2,260,2,1,,,12,4,,
170,1,2,59,2,1,1,30,1,1,2,3,1,3,,19,10,3,1,50,2,2,10000,,12,,,
171,1,1,30,2,1,1,6,3,1,2,2,"1,3",3,KE0051,17,40,2,1,50,1,6,15000,,2,5,1,5000
172,1,1,28,2,4,1,6,2,5,2,1,1,3,KE631,8,35,3,1,45,2,8,24000,110,12,,,
173,1,1,21,2,1,3,10,0,8,2,3,2,1,KE895,19,15,3,1,45,1,2,14000,35,8,6,1,9030
174,1,3,29,2,1,1,7,1,1,2,2,6,3,7C2301,19,35,3,1,56,2,2,2700,5,12,,,
175,1,1,26,1,1,1,5,2,1,2,2,2,1,KE5885,16,33,2,1,28,2,1,,20,12,,,
176,1,1,25,2,1,1,60,2,1,2,2,1,3,KE622,8,10,2,1,,2,2,5000,15,12,,,
177,1,4,37,2,1,1,10,1,1,2,3,5,3,PR469,20,45,3,1,53,2,5,1200,30,12,,,
178,1,3,33,1,1,1,7,2,3,2,0,3,3,7C2301,19,35,3,1,56,2,3,2000,60,12,,,
179,1,3,34,,1,1,7,1,3,2,2,1,3,7C2401,21,55,4,1,53,2,3,2000,60,12,,,
180,1,3,35,2,1,1,5,2,1,2,1,1,3,7C2401,21,55,4,1,58,2,1,,,12,,,
181,1,2,45,1,1,2,5,0,1,2,7,1,3,OZ6763,21,20,4,2,,1,6,15000,70,1,6,,
182,1,4,41,1,1,1,10,0,1,2,3,5,3,PR469,20,45,3,1,53,2,5,1200,30,12,,,
183,1,1,47,1,1,1,16,0,1,2,3,1,3,,17,50,2,1,69,1,2,4000,10,7,4,1,72000
