ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,Destination,TotalDepartureHr,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,MileageAirline,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5,Income
63,1,1,27,1,1,2,180,1,5,2,4,0,0,1,0,0,0,0,2,18.5,3,1,67,2,8,50000,311,12,5,0,0,1,0,0,0,0,0,0,0,0,1,8
64,1,4,22,2,5,1,5,1,1,2,12,0,0,0,0,0,1,0,2,17.75,2,1,19,2,5,6595,56,12,5,0,0,0,0,0,1,0,0,0,0,0,1,8
65,1,3,28,1,1,1,6,5,3,2,0,1,0,0,0,0,0,0,3,20.08,3,1,38,2,3,1100,20,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
66,1,4,29,2,2,1,20,1,1,2,2,1,0,0,0,0,0,0,1,19.17,3,1,30,1,5,6900,43,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1
67,1,1,47,1,1,1,5,2,3,2,3,1,0,0,0,0,0,0,3,19,3,1,60.79,1,5,1200,40,4,1,1,0,0,0,0,0,0,1,0,0,0,0,5
68,1,1,38,1,1,1,4,3,1,2,3,0,0,0,0,1,0,0,2,14.79,2,1,26.43,1,2,3000,5,2,5,0,0,0,0,1,0,0,0,0,0,0,1,3
70,1,2,39,2,1,1,5,1,1,2,4,0,0,1,0,0,1,0,2,9,1,1,60,1,6,13000,60,9,5,0,0,1,0,0,1,0,0,0,0,0,1,3
71,1,3,26,2,1,1,5,2,2,2,0,1,0,0,0,0,0,0,3,25.02,4,1,44.57,1,5,1300,50,5,5,1,0,0,0,0,0,0,0,0,0,0,1,2
73,1,2,28,1,1,2,3,2,1,2,2,0,0,1,0,0,0,0,2,14.79,2,1,27.12,1,5,1150,30,2,5,0,0,1,0,0,0,0,0,0,0,0,1,3
74,1,3,22,2,1,1,7,1,6,2,1,0,1,1,0,0,0,0,3,7.58,3,1,24,1,1,1200,290,8,5,0,1,1,0,0,0,0,0,0,0,0,1,7
