AccessTime,Destination2,Destination3,Destination4,DepartureTime3,Income2,Income3,Income4,Income5,Income6,Income7,Income8,Airline3,Airline2,Airline4,airport
15,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
180,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
110,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
5,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
60,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
56,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
70,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
30,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
20,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
56,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
56,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
56,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
39,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
60,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
56,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
311,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
65,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
180,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
56,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
180,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
30,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
60,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
60,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
30,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
90,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
76,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
60,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
76,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
90,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
60,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
20,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
80,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
56,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
390,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
76,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
90,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
76,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
90,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
120,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
76,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
39,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
50,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
56,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
40,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
30,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
60,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
56,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
60,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
80,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
60,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
60,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
40,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
90,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
30,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
60,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
60,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
40,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
90,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
40,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
40,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
30,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
60,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
50,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
60,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
70,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
30,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
50,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
40,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
40,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
