,ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
42,43,1,1,31.0,2.0,1,4,4,0,3,2,100,"1,2,3,4,5",3,KE691,10,35,1,2.0,40.0,2,2,8000.0,10.0,12,3.0
43,44,1,1,57.0,1.0,4,2,140,1,5,2,10,1,3,KE641,18,40,3,1.0,59.0,2,10,90000.0,60.0,12,2.0
44,45,1,3,28.0,1.0,1,1,5,4,3,2,4,6,3,7C2301,19,35,3,1.0,30.0,1,6,12000.0,75.0,2,2.0
45,46,1,1,32.0,2.0,1,1,10,2,3,2,2,1,1,KE833,14,50,2,1.0,48.0,2,2,5000.0,10.0,12,3.0
46,47,1,1,29.0,2.0,1,1,5,2,3,2,2,3,2,KE5703,13,35,2,1.0,54.0,1,6,8000.0,50.0,3,2.0
47,48,1,1,35.0,2.0,1,2,3,5,3,2,20,1,3,KE653,19,10,3,1.0,60.0,1,6,6000.0,40.0,12,3.0
48,49,1,2,45.0,1.0,2,2,15,1,8,2,7,1,1,OZ359,12,40,2,1.0,52.0,1,6,8000.0,40.0,1,3.0
49,50,1,3,28.0,1.0,1,1,7,9,3,1,2,1,3,OZ3195,8,30,3,1.0,45.0,1,6,11000.0,90.0,2,4.0
50,51,1,3,53.0,2.0,1,1,7,9,3,2,0,1,3,OZ3195,20,30,3,1.0,45.0,2,2,1050.0,20.0,12,3.0
51,52,1,3,57.0,1.0,1,1,7,9,1,2,3,"1,2",3,OZ3195,20,30,3,1.0,50.0,2,3,1050.0,15.0,12,2.0
52,53,1,3,43.0,2.0,4,1,4,4,1,2,2,1,3,7C2301,19,35,3,1.0,31.0,1,5,3700.0,100.0,5,2.0
53,54,1,3,21.0,2.0,1,1,4,4,1,2,0,1,3,7C2301,19,35,3,1.0,31.0,1,5,2000.0,50.0,8,3.0
54,55,1,2,67.0,2.0,1,1,7,2,1,1,3,1,1,OZ3195,8,30,3,2.0,66.0,1,4,10000.0,65.0,7,4.0
55,56,1,2,66.0,1.0,1,1,6,8,2,1,1,1,1,OZ367,20,0,3,1.0,78.0,1,1,1300.0,60.0,7,2.0
56,57,1,3,29.0,1.0,1,1,6,1,3,2,3,3,2,OZ1045,15,30,2,1.0,17.0,2,4,2000.0,60.0,12,3.0
57,58,1,1,30.0,2.0,1,1,5,2,5,2,122,1,3,KE643,14,20,2,1.0,64.0,2,8,48000.0,90.0,12,2.0
58,59,1,2,44.0,2.0,2,1,99,1,8,2,4,2,1,OZ349,12,30,2,1.0,31.0,1,1,5350.0,34.0,9,4.0
59,60,1,3,36.0,1.0,1,1,5,1,4,2,3,"1,3",3,NotRespond,0,0,2,1.0,40.0,2,8,14000.0,60.0,1,3.0
60,61,1,2,53.0,1.0,5,2,7,2,8,2,50,1,3,OZ741,18,30,3,1.0,75.0,1,8,5350.0,150.0,2,6.0
61,62,1,4,47.0,1.0,1,1,2,3,1,2,0,1,2,KE651,5,40,2,1.0,20.0,2,2,1050.0,40.0,12,2.0
62,63,1,1,27.0,1.0,1,2,180,1,5,2,4,3,2,NotRespond,18,30,3,1.0,67.0,2,8,50000.0,110.0,12,2.0
63,64,1,4,22.0,2.0,5,1,5,1,1,2,12,6,2,ZW893,17,45,2,1.0,19.0,2,5,1200.0,30.0,12,2.0
64,65,1,3,28.0,1.0,1,1,6,5,3,2,0,1,3,7C2201,20,5,3,1.0,38.0,2,3,1100.0,20.0,12,6.0
65,66,1,4,29.0,2.0,2,1,20,1,1,2,2,1,1,KE653,19,10,3,1.0,30.0,1,5,6900.0,43.0,2,1.0
66,67,1,1,47.0,1.0,1,1,5,2,3,2,3,1,3,KE687,19,0,3,1.0,49.5,1,5,1200.0,40.0,4,5.0
67,68,1,1,38.0,1.0,1,1,4,3,1,2,3,5,2,NotRespond,0,0,2,1.0,40.0,1,2,3000.0,5.0,2,3.0
68,69,1,NotRespond,58.0,1.0,1,3,7,2,4,1,8,5,4,NotRespond,0,0,2,1.0,180.0,3,2,6000.0,20.0,12,2.0
69,70,1,2,39.0,2.0,1,1,5,1,1,2,4,"3,6",2,OZ102,9,0,1,1.0,60.0,1,6,13000.0,60.0,9,3.0
70,71,1,3,26.0,2.0,1,1,5,2,2,2,0,1,3,NotRespond,0,0,4,1.0,40.0,1,5,1300.0,50.0,5,2.0
71,72,1,NotRespond,23.0,2.0,1,1,7,2,3,1,0,1,3,NotRespond,0,0,2,1.0,30.0,1,5,1050.0,30.0,3,2.0
72,73,1,2,28.0,1.0,1,2,3,2,1,2,2,3,2,NotRespond,0,0,2,1.0,40.0,1,5,1150.0,30.0,2,3.0
73,74,1,3,22.0,2.0,1,1,7,1,6,2,1,"2,3",3,7C2301,7,35,3,1.0,24.0,1,1,1200.0,202.5,8,7.0
74,75,1,1,34.0,1.0,2,2,30,1,5,2,12,2,1,KE607,19,45,3,1.0,44.0,3,4,17000.0,60.0,2,2.0
75,76,1,2,40.0,1.0,1,2,15,1,4,2,3,2,1,OZ365,14,0,2,1.0,44.0,3,2,11000.0,10.0,12,2.0
76,77,1,3,22.0,2.0,4,3,7,1,6,2,2,1,3,7C2301,7,35,3,1.0,24.0,3,8,1200.0,202.5,12,2.0
77,78,1,3,33.0,1.0,1,1,6,1,3,2,1,4,3,NotRespond,16,0,2,1.0,40.0,2,5,1050.0,60.0,12,2.0
78,79,1,3,29.0,2.0,1,1,5,0,3,2,1,1,3,NotRespond,16,0,2,1.0,40.0,1,5,1050.0,60.0,2,3.0
79,80,1,2,43.0,1.0,1,1,4,3,1,1,1,1,3,NotRespond,0,0,2,1.0,40.0,2,3,1050.0,15.0,12,2.0
80,81,1,4,41.0,1.0,1,4,8,10,5,2,5,6,1,NotRespond,13,40,2,2.0,120.0,3,1,1800.0,10.0,12,2.0
81,82,1,4,25.0,2.0,1,1,5,1,5,1,0,1,3,8B0964,13,25,2,1.0,61.0,3,2,17000.0,30.0,12,2.0
82,83,1,4,27.0,2.0,1,1,5,1,5,1,0,1,3,8B0964,13,25,2,1.0,61.0,3,2,17000.0,30.0,12,2.0
83,84,1,1,30.0,1.0,1,1,5,1,5,2,10,2,3,KE643,14,20,2,1.0,65.0,3,1,1800.0,30.0,12,2.0
84,85,1,2,50.0,2.0,1,1,99,1,8,2,0,1,2,OZ134,14,0,2,1.0,23.0,1,1,5350.0,34.0,9,5.0
85,86,1,2,31.0,1.0,1,2,30,0,1,2,5,2,1,OZ359,12,40,2,1.0,54.0,1,2,3000.0,15.0,3,3.0
86,87,1,1,34.0,1.0,1,2,99,0,1,2,6,"2,4",1,NotRespond,13,5,2,1.0,20.0,1,1,3001.5,60.0,1,7.0
87,88,1,4,47.0,1.0,1,1,5,3,1,1,2,1,3,8B0964,13,25,2,1.0,61.0,2,2,13300.0,45.0,12,2.0
88,89,1,NotRespond,61.0,2.0,1,1,5,27,1,1,0,2,1,NotRespond,0,0,2,1.0,154.0,2,3,1050.0,15.0,12,2.0
89,90,1,1,40.0,1.0,1,1,5,10,3,2,0,6,3,NotRespond,0,0,2,3.0,40.0,1,7,4300.0,53.0,2,2.0
90,91,1,3,30.0,2.0,1,1,7,3,1,2,3,1,3,KE623,20,5,3,1.0,60.0,1,3,3000.0,15.0,2,3.0
91,92,1,2,32.0,1.0,1,1,5,2,4,2,1,1,3,OZ751,16,10,2,2.0,75.0,2,8,14000.0,50.0,12,2.0
92,93,1,4,45.0,1.0,1,1,5,1,7,2,0,1,3,8B0964,13,25,2,1.0,61.0,3,8,6000.0,120.0,12,1.0
93,94,1,4,40.0,2.0,1,1,5,1,7,2,2,1,3,8B0964,13,25,2,1.0,61.0,3,8,6000.0,120.0,12,1.0
94,95,1,4,39.0,1.0,1,1,0,5,5,2,0,1,3,8B0964,13,25,2,2.0,30.0,3,2,10000.0,30.0,12,2.0
95,96,1,4,37.0,1.0,1,1,6,5,5,2,5,1,3,8B0964,13,25,2,1.0,41.0,3,5,1100.0,30.0,12,2.0
96,97,1,2,44.0,1.0,1,2,15,1,1,2,80,2,1,OZ307,14,20,2,2.0,44.0,2,2,13000.0,45.0,12,2.0
97,98,1,2,30.0,2.0,1,1,5,2,4,2,1,1,3,OZ751,16,10,2,2.0,75.0,2,8,14000.0,40.0,12,2.0
98,99,1,4,49.0,1.0,1,1,4,2,8,1,0,1,3,7C2203,20,40,3,3.0,40.0,1,5,2700.0,40.0,3,2.0
99,100,1,1,50.0,2.0,1,1,7,2,2,2,0,1,3,KE659,20,20,3,1.0,50.0,1,5,1300.0,30.0,9,4.0
100,101,1,4,52.0,2.0,1,4,99,0,8,2,0,1,3,5J195,21,35,4,1.0,27.0,1,6,15000.0,100.0,9,1.0
101,102,1,4,54.0,2.0,1,1,5,26,3,1,2,1,3,7C2203,20,40,3,1.0,3.0,2,2,2500.0,10.0,12,3.0
102,103,1,2,55.0,2.0,1,1,6,4,1,1,0,1,1,OZ749,20,10,3,1.0,44.0,2,5,1200.0,30.0,12,2.0
103,104,1,1,60.0,2.0,1,1,5,2,3,2,1,1,3,KE659,20,20,3,1.0,50.0,1,6,8000.0,50.0,11,1.0
