ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5
26,1,4,22,1,4,4,30,0,3,2,0,6,4,NA,11,45,4,1,39,3,3,1100,15,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
27,1,1,55,1,1,1,5,3,3,2,2,"2,5",1,NA,14,10,2,1,28,2,2,4e3,10,12,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
28,1,1,20,2,1,3,21,1,3,2,1,5,1,KE607,19,45,3,1,NA,1,6,8e3,50,8,NA,4,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
29,1,3,33,1,1,1,5,2,5,2,1,1,3,7C2201,19,35,3,1,NA,2,2,7500,30,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
30,1,4,31,2,1,1,3,4,1,2,1,1,4,CX421,9,25,1,1,43,1,6,1e4,60,2,1,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
31,1,3,33,2,1,1,6,2,1,2,2,1,3,NA,20,5,3,1,48,1,1,NA,60,5,4,1,5e3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
32,1,1,46,1,1,2,4,1,3,2,50,2,3,KE687,19,0,3,2,NA,1,6,5500,40,12,5,4,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
33,1,1,24,2,1,1,45,2,5,2,1,5,4,KE933,13,0,2,1,140,2,7,17900,180,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
34,1,1,22,1,1,3,100,0,6,2,0,6,4,NA,20,5,3,1,110,1,7,1200,15,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
35,1,3,32,2,1,1,6,2,5,2,1,1,3,NA,20,5,3,1,40,2,2,7500,10,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
36,1,1,34,2,4,1,15,4,1,2,1,1,3,KE641,18,40,3,1,70,1,1,NA,NA,2,2,1,5e3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,1,1,40,2,1,1,5,4,1,2,1,1,3,NA,14,20,2,3,80,2,3,1e3,NA,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
38,1,4,22,2,1,1,30,2,1,2,0,5,4,CX419,20,5,3,1,108,2,3,1050,NA,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
